time (s),"v(""/net1"" ?result ""tran"") (V)"
0,0
0.000000001,0
0.000000001,1
1.156E-009,1
1.157E-009,0
0.000000021,0
0.000000021,0.907
2.1156E-008,0.907
2.1157E-008,0
0.000000041,0
0.000000041,0.813
4.1156E-008,0.813
4.1157E-008,0
0.000000061,0
0.000000061,0.72
6.1156E-008,0.72
6.1157E-008,0
0.000000081,0
0.000000081,0.627
8.1156E-008,0.627
8.1157E-008,0
0.000000101,0
0.000000101,0.533
1.01156E-007,0.533
1.01157E-007,0
0.000000121,0
0.000000121,0.44
1.21156E-007,0.44
1.21157E-007,0
0.000000141,0
0.000000141,0.347
1.41156E-007,0.347
1.41157E-007,0
